property_id,address,street_name,city,rstate,latitude,longitude,postcode,price,zestimate,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,property_type,property_status,agency_name,zillow_owned,RunDate
2066666684,"211 Condor St #1, Boston, MA 02128",Condor St #1,Boston,MA,42.382484,-71.032715,02128,749000,,2,2,655,1143,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
2066666685,"211 Condor St #5, Boston, MA 02128",Condor St #5,Boston,MA,,,02128,724000,,2,2,731,990,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
59180209,"9 Hawthorne Pl APT 7B, Boston, MA 02114",Hawthorne Pl APT 7B,Boston,MA,42.364014,-71.06571,02114,475000,482900,0,1,744,638,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
2084111812,"362-364 W Broadway #3, Boston, MA 02127",364 W Broadway #3,Boston,MA,,,02127,1049000,1050700,2,2,816,1284,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
2107093794,"506 E Broadway, Boston, MA 02127",E Broadway,Boston,MA,42.33569,-71.04439,02127,3445000,,7,8,581,5928,1515,MULTI_FAMILY,FOR_SALE,Boston Realty Advisors,0,3/13/2022 7:34
2077911267,"771 Harrison Ave PENTHOUSE 12, Boston, MA 02118",Harrison Ave PENTHOUSE 12,Boston,MA,42.33752,-71.072395,02118,2395000,2344700,2,4,1014,2361,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2109064138,"521 E 8th St #1, Boston, MA 02127",E 8th St #1,Boston,MA,42.3311,-71.0405,02127,899000,914200,2,2,836,1075,,CONDO,FOR_SALE,Boston Residential,0,3/13/2022 7:34
59183684,"18 E Springfield St APT 4, Boston, MA 02118",E Springfield St APT 4,Boston,MA,42.33653,-71.0755,02118,825000,840100,2,1,1095,753,871.2,CONDO,FOR_SALE,"Good School Realty, Inc.",0,3/13/2022 7:34
71545967,"3 Avery St UNIT 406, Boston, MA 02111",Avery St UNIT 406,Boston,MA,42.35346,-71.062775,02111,699000,704600,1,2,543,1286,1306.8,CONDO,FOR_SALE,Coldwell Banker Realty - Hingham,0,3/13/2022 7:34
68006530,"35 Channel Center St UNIT 211, Boston, MA 02210",Channel Center St UNIT 211,Boston,MA,42.34638,-71.05055,02210,1364000,1364000,2,2,1008,1353,,CONDO,FOR_SALE,,0,3/13/2022 7:34
2066707435,"100 Shawmut Ave #908, Boston, MA 02118",Shawmut Ave #908,Boston,MA,42.34683,-71.06571,02118,759900,,2,1,1361,558,,CONDO,FOR_SALE,,0,3/13/2022 7:34
2066707434,"100 Shawmut Ave #206, Boston, MA 02118",Shawmut Ave #206,Boston,MA,42.34683,-71.06571,02118,1589900,,2,2,1180,1347,,CONDO,FOR_SALE,,0,3/13/2022 7:34
59175227,"65 E India Row APT 38D, Boston, MA 02110",E India Row APT 38D,Boston,MA,42.357735,-71.0503,02110,675000,693500,1,1,901,749,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
2075574955,"771 Harrison Ave #406, Boston, MA 02118",Harrison Ave #406,Boston,MA,,,02118,1695000,1694200,3,3,926,1830,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2077911263,"771 Harrison Ave PENTHOUSE 7, Boston, MA 02118",Harrison Ave PENTHOUSE 7,Boston,MA,42.33752,-71.072395,02118,2995000,2914100,3,4,963,3110,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2066707441,"771 Harrison Ave UNIT 407, Boston, MA 02118",Harrison Ave UNIT 407,Boston,MA,42.337013,-71.073395,02118,1295000,,2,3,988,1310,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2068920896,"771 Harrison Ave UNIT 101, Boston, MA 02118",Harrison Ave UNIT 101,Boston,MA,,,02118,795000,795000,1,2,928,856,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2066752799,"100 Shawmut Ave #501, Boston, MA 02118",Shawmut Ave #501,Boston,MA,42.34683,-71.06571,02118,1878900,,2,2,1623,1157,,CONDO,FOR_SALE,,0,3/13/2022 7:34
2072992702,"100 Shawmut Ave #204, Boston, MA 02118",Shawmut Ave #204,Boston,MA,42.34683,-71.06571,02118,969900,978300,1,1,1032,939,,CONDO,FOR_SALE,,0,3/13/2022 7:34
2077290422,"100 Shawmut Ave #406, Boston, MA 02118",Shawmut Ave #406,Boston,MA,42.34683,-71.06571,02118,736900,749600,1,1,1091,675,,CONDO,FOR_SALE,,0,3/13/2022 7:34
2103010155,"771 Harrison Ave, Boston, MA 02118",Harrison Ave,Boston,MA,42.33752,-71.072395,02118,1445000,1423000,2,3,791,1826,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2077506616,"99 Sumner St #517, Boston, MA 02128",Sumner St #517,Boston,MA,42.36969,-71.042435,02128,1335000,1335000,2,2,1204,1108,,CONDO,FOR_SALE,Advisors Living - New Developments,0,3/13/2022 7:34
